,compiler,compiler_flags,IDX0,IDX1,IDX2,IDX3,IDX4,IDX5,IDX6,IDX7,INSTRUCTIONS_RETIRED,CFG,DiscardedpapiValues,DiscardedtimeValues,DiscardedtscValues,FLOPSs,GATHER,papi,time,tsc,vgatherdps_YMM_GPR_GPR_MEM_YMM,vmovaps_YMM_GPR_GPR_MEM,vmovdqa_YMM_GPR_GPR_LABEL,SCATTER,kxnorb_GPR_GPR_GPR,vmovq_XMM_GPR,vscatterdps_IMM_YMM,vxorps_XMM_XMM_XMM,overhead_instructions,overhead_loop,SET_IDX0,SET_IDX1,SET_IDX2,SET_IDX3,SET_IDX4,SET_IDX5,SET_IDX6,SET_IDX7,CL_IDX0,CL_IDX1,CL_IDX2,CL_IDX3,CL_IDX4,CL_IDX5,CL_IDX6,CL_IDX7,N_CL,N_SETS
46,gcc-11, -march=native -mtune=native -O3 ,0,1,2,3,4,19,96,234,0.0,-DGATHER,0.0,0.0,0.0,295358649.7890295,1.0,5.073128571428571,3.385714285714286e-09,7.168257142857143,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2,1.01032,0,0,0,0,0,1,6,6,0,0,0,0,0,1,6,14,4,3
47,gcc-11, -march=native -mtune=native -O3 ,0,1,2,3,4,19,96,234,0.0,-DSCATTER,0.0,0.0,0.0,219435736.677116,0.0,7.073099999999998,4.5571428571428575e-09,10.650228571428572,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2,1.01032,0,0,0,0,0,1,6,6,0,0,0,0,0,1,6,14,4,3
48,gcc-11, -march=native -mtune=native -O3 ,0,1,2,3,4,19,109,7,0.0,-DGATHER,0.0,0.0,0.0,296610169.4915254,1.0,5.073100000000001,3.3714285714285718e-09,7.185685714285714,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2,1.01032,0,0,0,0,0,1,6,0,0,0,0,0,0,1,6,0,3,3
49,gcc-11, -march=native -mtune=native -O3 ,0,1,2,3,4,19,109,7,0.0,-DSCATTER,0.0,0.0,0.0,219435736.677116,0.0,7.073114285714285,4.5571428571428575e-09,10.6514,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2,1.01032,0,0,0,0,0,1,6,0,0,0,0,0,0,1,6,0,3,3
50,gcc-11, -march=native -mtune=native -O3 ,0,1,2,3,4,19,109,112,0.0,-DGATHER,0.0,0.0,0.0,296610169.4915254,1.0,5.073100000000001,3.3714285714285718e-09,7.171285714285714,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2,1.01032,0,0,0,0,0,1,6,7,0,0,0,0,0,1,6,7,4,4
51,gcc-11, -march=native -mtune=native -O3 ,0,1,2,3,4,19,109,112,0.0,-DSCATTER,0.0,0.0,0.0,221518987.3417721,0.0,7.073114285714285,4.514285714285715e-09,10.951714285714283,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2,1.01032,0,0,0,0,0,1,6,7,0,0,0,0,0,1,6,7,4,4
52,gcc-11, -march=native -mtune=native -O3 ,0,1,2,3,4,19,109,234,0.0,-DGATHER,0.0,0.0,0.0,299145299.1452992,1.0,5.073100000000001,3.342857142857142e-09,7.1402,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2,1.01032,0,0,0,0,0,1,6,6,0,0,0,0,0,1,6,14,4,3
53,gcc-11, -march=native -mtune=native -O3 ,0,1,2,3,4,19,109,234,0.0,-DSCATTER,0.0,0.0,0.0,220820189.274448,0.0,7.073099999999998,4.528571428571428e-09,10.629914285714284,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2,1.01032,0,0,0,0,0,1,6,6,0,0,0,0,0,1,6,14,4,3
54,gcc-11, -march=native -mtune=native -O3 ,0,1,2,3,64,5,6,7,0.0,-DGATHER,0.0,0.0,0.0,296610169.4915254,1.0,5.073100000000001,3.3714285714285714e-09,7.437457142857143,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2,1.01032,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,2,2
55,gcc-11, -march=native -mtune=native -O3 ,0,1,2,3,64,5,6,7,0.0,-DSCATTER,0.0,0.0,0.0,129390018.48428836,0.0,7.073099999999998,7.728571428571429e-09,14.21597142857143,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2,1.01032,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,2,2
56,gcc-11, -march=native -mtune=native -O3 ,0,1,2,3,64,5,6,112,0.0,-DGATHER,0.0,0.0,0.0,294117647.0588235,1.0,5.073100000000001,3.4000000000000003e-09,7.296485714285715,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2,1.01032,0,0,0,0,4,0,0,7,0,0,0,0,4,0,0,7,3,3
57,gcc-11, -march=native -mtune=native -O3 ,0,1,2,3,64,5,6,112,0.0,-DSCATTER,0.0,0.0,0.0,128913443.83057092,0.0,7.073114285714285,7.757142857142856e-09,13.973657142857144,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2,1.01032,0,0,0,0,4,0,0,7,0,0,0,0,4,0,0,7,3,3
