,CPU_CLK_THREAD_UNHALTED:THREAD_P,INST_RETIRED:ANY_P,UOPS_RETIRED:ALL,UOPS_ISSUED:ALL,UOPS_EXECUTED:THREAD,UOPS_RETIRED:STALL_CYCLES,UOPS_ISSUED:STALL_CYCLES,UOPS_EXECUTED:STALL_CYCLES,CL,V_LEN,X_IDX_A,X_N,BROADCAST,X_IDX_B,X_IDX_C,X_IDX_D,X_IDX_E,X_IDX_F,X_IDX_G,X_IDX_H,N_CL
15,5.230916,6.0001656,9.000865399999999,8.001332999999999,8.001277400000001,0.2235902,3.2433552,2.1046246,2,4,21,3,-1.0,3,10,-1,,,,,"(3, 2)"
16,5.0069508,6.000165399999999,9.000819799999999,8.0012346,8.0012152,0.0021082,3.0020148,2.0016989999999995,2,4,21,3,-1.0,3,17,-1,,,,,"(3, 2)"
17,5.0058588,6.0001656,9.0008662,8.0013608,8.0013282,0.0031288,3.00186,2.0018009999999995,3,4,3,3,-1.0,42,72,-1,,,,,"(3, 3)"
18,5.0063914,6.0001652,9.0007718,8.0011484,8.0011312,0.0019048,3.002013,2.0017516,3,4,42,3,-1.0,3,72,-1,,,,,"(3, 3)"
19,5.006750800000001,6.0001656,9.000867,8.0012356,8.0012098,0.0021241999999999,3.002048,2.0017622,3,4,72,3,-1.0,42,11,-1,,,,,"(3, 3)"
20,1.0040416,4.000159600000001,4.0003006,3.000308,4.0003224,0.001107,0.056634,0.0010488,1,4,0,4,-1.0,1,2,3,,,,,"(4, 1)"
21,1.0842386,5.00016,6.0004416,4.000234600000001,6.000253,0.0611962,0.076932,0.0032397999999999,1,4,0,4,-1.0,1,4,5,,,,,"(4, 1)"
22,2.0041956,6.0001622,7.000535400000001,6.0005652000000005,7.000683799999999,0.4139641999999999,0.3096524,0.0012261999999999,1,4,0,4,-1.0,1,2,7,,,,,"(4, 1)"
23,4.005442,5.0001646,8.000758,7.0011502000000005,8.0010386,0.0018874,2.0018524,0.0017404,1,4,0,4,-1.0,3,5,7,,,,,"(4, 1)"
24,4.0057024000000006,5.000164799999999,8.0007582,7.0010324,8.001049,0.0019254,2.001836,0.001735,1,4,1,4,-1.0,3,5,7,,,,,"(4, 1)"
25,1.0834038,5.0001594,6.0003482,4.0005276,6.000464200000001,0.0634992,0.0766644,0.0017197999999999,2,4,0,4,-1.0,1,16,17,,,,,"(4, 2)"
26,3.0044596,9.0001602,10.0006276,8.000781,9.0008218,0.001612,0.9704208,0.0014194,2,4,0,4,-1.0,4,16,17,,,,,"(4, 2)"
27,2.0060004,6.0001618,7.000501799999999,6.000583600000001,7.000643800000001,0.0028294,0.0044421999999999,0.0011988,2,4,3,4,-1.0,4,5,17,,,,,"(4, 2)"
28,4.0053032,5.0001644,8.0007276,7.0010402,8.0008872,0.0019311999999999,2.0018432,0.0017683999999999,2,4,3,4,-1.0,17,18,19,,,,,"(4, 2)"
29,4.0049488,5.000164799999999,8.0007262,7.000945400000001,8.001036199999998,0.0018839999999999,2.0018458000000003,0.0017226,2,4,0,4,-1.0,4,16,20,,,,,"(4, 2)"
