compiler,compiler_flags,MARTA_NUM_THREADS,OFFSET,STREAM_ARRAY_SIZE,ADD_VERSION,STRIDE,SW_PREFETCH,MEM_LOAD_UOPS_RETIRED:L1_HIT,MEM_LOAD_UOPS_RETIRED:L1_MISS,L2_RQSTS:DEMAND_DATA_RD_HIT,L2_RQSTS:DEMAND_DATA_RD_MISS,LONGEST_LAT_CACHE:MISS,MEM_LOAD_L3_MISS_RETIRED:LOCAL_DRAM,MEM_INST_RETIRED:ALL_LOADS,MEM_INST_RETIRED:ALL_STORES,n_thread,tsc,loops_vectorized,loop_interchange,BANDWIDTH,overhead_instructions,overhead_loop
gcc-11, -march=native -O3 -DTUNED -fno-inline -fopenmp ,1,8,16777216,13,2048,0,13295.0,3926419.0,2102.0,4194810.0,5998420.0,3855087.0,8388912.0,4194696.0,0.0,410035082.0,9.0,0.0,2.062193513480878,0,0
gcc-11, -march=native -O3 -DTUNED -fno-inline -fopenmp ,1,8,16777216,13,4096,0,12599.0,3837549.0,2151.0,4194816.0,5990591.0,3709069.0,8385275.0,4194696.0,0.0,382081314.0,9.0,0.0,2.2130673639800142,0,0
gcc-11, -march=native -O3 -DTUNED -fno-inline -fopenmp ,1,8,16777216,13,8192,0,9583.0,3634808.0,2304.0,4194864.0,5972632.0,3519459.0,8383325.0,4194696.0,0.0,343732018.0,9.0,0.0,2.45997359024029,0,0
gcc-11, -march=native -O3 -DTUNED -fno-inline -fopenmp ,1,8,16777216,13,16384,0,8235.0,3235639.0,2680.0,4194774.0,5980832.0,3138346.0,8386212.0,4194696.0,0.0,299969512.0,9.0,0.0,2.818858759219504,0,0
gcc-11, -march=native -O3 -DTUNED -fno-inline -fopenmp ,1,8,16777216,13,32768,0,6002.0,3169271.0,5615.0,4186191.0,5978093.0,3066411.0,8388804.0,4194696.0,0.0,239014340.0,9.0,0.0,3.5377445821869937,0,0
gcc-11, -march=native -O3 -DTUNED -fno-inline -fopenmp ,1,8,16777216,13,65536,0,8050.0,3074376.0,8151.0,4183434.0,5984326.0,2954331.0,8388769.0,4194696.0,0.0,213486238.0,9.0,0.0,3.960778429193174,0,0
gcc-11, -march=native -O3 -DTUNED -fno-inline -fopenmp ,1,8,16777216,13,131072,0,25638.0,3231293.0,9260.0,4171855.0,6023391.0,3144029.0,8388790.0,4194696.0,0.0,198859226.0,9.0,0.0,4.252111925649354,0,0
gcc-11, -march=native -O3 -DTUNED -fno-inline -fopenmp ,1,8,16777216,13,262144,0,286734.0,2319267.0,2451788.0,1528599.0,6000503.0,369864.0,8389022.0,4194696.0,0.0,71510050.0,9.0,0.0,11.824515384900444,0,0
gcc-11, -march=native -O3 -DTUNED -fno-inline -fopenmp ,1,8,16777216,13,524288,0,428602.0,1315813.0,2315458.0,1257920.0,5957762.0,233015.0,8389022.0,4194696.0,0.0,69745362.0,9.0,0.0,12.123697722007666,0,0
gcc-11, -march=native -O3 -DTUNED -fno-inline -fopenmp ,1,8,16777216,13,1048576,0,738952.0,1408439.0,1819882.0,1162411.0,5832131.0,287048.0,8389022.0,4194696.0,0.0,68386824.0,9.0,0.0,12.364540958942618,0,0
gcc-11, -march=native -O3 -DTUNED -fno-inline -fopenmp ,1,8,16777216,14,1,0,279363.0,3079103.0,1116411.0,1950895.0,5599375.0,612609.0,8389022.0,4194696.0,0.0,61853832.0,9.0,0.0,13.670481828838026,0,0
gcc-11, -march=native -O3 -DTUNED -fno-inline -fopenmp ,1,8,16777216,14,2,0,451269.0,3771777.0,1326249.0,1740091.0,7099348.0,1183508.0,8389022.0,4194696.0,0.0,84584192.0,9.0,0.0,9.996805152433211,0,0
gcc-11, -march=native -O3 -DTUNED -fno-inline -fopenmp ,1,8,16777216,14,4,0,414521.0,3784236.0,1207787.0,1840415.0,7815720.0,1742698.0,8389022.0,4194696.0,0.0,96519122.0,9.0,0.0,8.760664921920862,0,0
gcc-11, -march=native -O3 -DTUNED -fno-inline -fopenmp ,1,8,16777216,14,8,0,434486.0,3766228.0,1215473.0,1814137.0,7766078.0,1736349.0,8389022.0,4194696.0,0.0,97073084.0,9.0,0.0,8.710670883805443,0,0
gcc-11, -march=native -O3 -DTUNED -fno-inline -fopenmp ,1,8,16777216,14,16,0,629499.0,3591054.0,1609234.0,1697676.0,6059086.0,949541.0,8389022.0,4194696.0,0.0,96411558.0,9.0,0.0,8.77043897994056,0,0
gcc-11, -march=native -O3 -DTUNED -fno-inline -fopenmp ,1,8,16777216,14,32,0,545736.0,3873938.0,1754917.0,1849595.0,5925605.0,974688.0,8389022.0,4194696.0,0.0,135460102.0,9.0,0.0,6.2422194721217625,0,0
gcc-11, -march=native -O3 -DTUNED -fno-inline -fopenmp ,1,8,16777216,14,64,0,717818.0,3951547.0,1585524.0,2088010.0,6068466.0,1247031.0,8384057.0,4194696.0,0.0,236352408.0,9.0,0.0,3.577588625202414,0,0
gcc-11, -march=native -O3 -DTUNED -fno-inline -fopenmp ,1,8,16777216,14,128,0,1016895.0,3966900.0,1558478.0,2206299.0,6097258.0,1209855.0,8384756.0,4194696.0,0.0,466386572.0,9.0,0.0,1.8130275122929569,0,0
gcc-11, -march=native -O3 -DTUNED -fno-inline -fopenmp ,1,8,16777216,14,256,0,1058890.0,3989346.0,1605161.0,2231676.0,6103884.0,1224896.0,8381710.0,4194696.0,0.0,463917134.0,9.0,0.0,1.82267828547156,0,0
gcc-11, -march=native -O3 -DTUNED -fno-inline -fopenmp ,1,8,16777216,14,512,0,1050605.0,3992187.0,1633591.0,2216736.0,6100983.0,1212132.0,8388879.0,4194696.0,0.0,455148424.0,9.0,0.0,1.857793286350037,0,0
gcc-11, -march=native -O3 -DTUNED -fno-inline -fopenmp ,1,8,16777216,14,1024,0,1120582.0,4033607.0,1702194.0,2232069.0,6089718.0,1155189.0,8389023.0,4194696.0,0.0,441567388.0,9.0,0.0,1.9149323735837123,0,0
gcc-11, -march=native -O3 -DTUNED -fno-inline -fopenmp ,1,8,16777216,14,2048,0,1211971.0,4114689.0,1769147.0,2296683.0,6089123.0,1122715.0,8388866.0,4194696.0,0.0,408136048.0,9.0,0.0,2.071788783528379,0,0
gcc-11, -march=native -O3 -DTUNED -fno-inline -fopenmp ,1,8,16777216,14,4096,0,1200254.0,4114368.0,1806313.0,2262000.0,6080413.0,1097697.0,8356611.0,4194696.0,0.0,380863754.0,9.0,0.0,2.220142183443374,0,0
